order_id,customer_sk,order_date,product_sk,product_name,category,quantity,unit_price,total_amount,payment_method,order_status,is_completed
ORD-001,1001,2026-08-19,201,Wireless Headphones,Electronics,2,49.99,99.98,Credit Card,completed,true
ORD-002,1002,2026-08-19,202,Running Shoes,Sports,1,129.99,129.99,PayPal,completed,true
ORD-003,1003,2026-08-19,203,Python Book,Books,1,39.99,39.99,Credit Card,completed,true
ORD-004,1004,2026-08-19,204,Water Bottle,Home,3,24.99,74.97,Debit Card,shipped,false
ORD-005,1005,2026-08-19,205,Yoga Mat,Sports,1,59.99,59.99,Credit Card,completed,true
ORD-006,1006,2026-08-19,206,Bluetooth Speaker,Electronics,1,79.99,79.99,PayPal,completed,true
ORD-007,1007,2026-08-19,207,Coffee Beans,Food,2,18.99,37.98,Credit Card,shipped,false
ORD-008,1008,2026-08-19,208,Laptop Stand,Electronics,1,45.99,45.99,Debit Card,completed,true
ORD-009,1009,2026-08-19,209,Resistance Bands,Sports,1,29.99,29.99,Credit Card,completed,true
ORD-010,1010,2026-08-19,210,LED Desk Lamp,Home,1,34.99,34.99,PayPal,completed,true
ORD-011,1011,2026-08-19,211,Mechanical Keyboard,Electronics,1,89.99,89.99,Credit Card,completed,true
ORD-012,1012,2026-08-19,212,Protein Powder,Food,2,34.99,69.98,PayPal,shipped,false
ORD-013,1013,2026-08-19,213,Backpack,Accessories,1,59.99,59.99,Credit Card,completed,true
ORD-014,1014,2026-08-19,214,Sunglasses,Accessories,1,29.99,29.99,Debit Card,completed,true
ORD-015,1015,2026-08-19,215,Notebook,Stationery,3,9.99,29.97,Credit Card,completed,true
ORD-016,1016,2026-08-19,216,USB Cable,Electronics,2,12.99,25.98,PayPal,completed,true
ORD-017,1017,2026-08-19,217,Face Mask,Health,5,4.99,24.95,Credit Card,completed,true
ORD-018,1018,2026-08-19,218,Hand Sanitizer,Health,3,7.99,23.97,Debit Card,completed,true
ORD-019,1019,2026-08-19,219,Bluetooth Earbuds,Electronics,1,49.99,49.99,Credit Card,completed,true
ORD-020,1020,2026-08-19,220,Desk Organizer,Home,1,24.99,24.99,PayPal,completed,true
ORD-021,1021,2026-08-19,221,Running Socks,Sports,3,14.99,44.97,Credit Card,completed,true
ORD-022,1022,2026-08-19,222,Phone Case,Accessories,1,19.99,19.99,Debit Card,completed,true
ORD-023,1023,2026-08-19,223,Webcam,Electronics,1,69.99,69.99,Credit Card,completed,true
ORD-024,1024,2026-08-19,224,Mouse Pad,Accessories,1,14.99,14.99,PayPal,completed,true
ORD-025,1025,2026-08-19,225,Desk Lamp,Home,1,39.99,39.99,Credit Card,completed,true
ORD-026,1026,2026-08-19,226,Water Filter,Home,1,29.99,29.99,Debit Card,completed,true
ORD-027,1027,2026-08-19,227,Jump Rope,Sports,1,19.99,19.99,Credit Card,completed,true
ORD-028,1028,2026-08-19,228,Calculator,Electronics,1,15.99,15.99,PayPal,completed,true
ORD-029,1029,2026-08-19,229,Sticky Notes,Stationery,5,3.99,19.95,Credit Card,completed,true
ORD-030,1030,2026-08-19,230,Pencil Case,Stationery,2,8.99,17.98,Debit Card,completed,true
ORD-031,1031,2026-08-19,231,Hand Towel,Home,4,6.99,27.96,Credit Card,completed,true
ORD-032,1032,2026-08-19,232,Dumbbell Set,Sports,1,49.99,49.99,PayPal,completed,true
ORD-033,1033,2026-08-19,233,Extension Cord,Electronics,1,24.99,24.99,Credit Card,completed,true
ORD-034,1034,2026-08-19,234,Pill Organizer,Health,1,12.99,12.99,Debit Card,completed,true
ORD-035,1035,2026-08-19,235,Keychain,Accessories,2,7.99,15.98,Credit Card,completed,true
